harmony_version,direction,N_trials,HSR_numerator,HSR_denominator,HSR_percent,HSR_ci_low,HSR_ci_high,FHR_numerator,FHR_denominator,FHR_percent,FHR_ci_low,FHR_ci_high,handover_latency_s_N,handover_latency_s_mean,handover_latency_s_std,handover_latency_s_median,handover_latency_s_Q1,handover_latency_s_Q3,handover_latency_s_min,handover_latency_s_max,handover_latency_s_ci_low,handover_latency_s_ci_high,pdr_transition_duration_s_N,pdr_transition_duration_s_mean,pdr_transition_duration_s_std,pdr_transition_duration_s_median,pdr_transition_duration_s_Q1,pdr_transition_duration_s_Q3,pdr_transition_duration_s_min,pdr_transition_duration_s_max,pdr_transition_duration_s_ci_low,pdr_transition_duration_s_ci_high,vps_localization_time_s_mean_N,vps_localization_time_s_mean_mean,vps_localization_time_s_mean_std,vps_localization_time_s_mean_median,vps_localization_time_s_mean_Q1,vps_localization_time_s_mean_Q3,vps_localization_time_s_mean_min,vps_localization_time_s_mean_max,vps_localization_time_s_mean_ci_low,vps_localization_time_s_mean_ci_high,gps_accuracy_m_mean_N,gps_accuracy_m_mean_mean,gps_accuracy_m_mean_std,gps_accuracy_m_mean_median,gps_accuracy_m_mean_Q1,gps_accuracy_m_mean_Q3,gps_accuracy_m_mean_min,gps_accuracy_m_mean_max,gps_accuracy_m_mean_ci_low,gps_accuracy_m_mean_ci_high,position_jump_m_reconstructed_N,position_jump_m_reconstructed_mean,position_jump_m_reconstructed_std,position_jump_m_reconstructed_median,position_jump_m_reconstructed_Q1,position_jump_m_reconstructed_Q3,position_jump_m_reconstructed_min,position_jump_m_reconstructed_max,position_jump_m_reconstructed_ci_low,position_jump_m_reconstructed_ci_high,heading_jump_deg_reconstructed_N,heading_jump_deg_reconstructed_mean,heading_jump_deg_reconstructed_std,heading_jump_deg_reconstructed_median,heading_jump_deg_reconstructed_Q1,heading_jump_deg_reconstructed_Q3,heading_jump_deg_reconstructed_min,heading_jump_deg_reconstructed_max,heading_jump_deg_reconstructed_ci_low,heading_jump_deg_reconstructed_ci_high,source_transitions_total_N,source_transitions_total_mean,source_transitions_total_std,source_transitions_total_median,source_transitions_total_Q1,source_transitions_total_Q3,source_transitions_total_min,source_transitions_total_max,source_transitions_total_ci_low,source_transitions_total_ci_high,unnecessary_source_switches_N,unnecessary_source_switches_mean,unnecessary_source_switches_std,unnecessary_source_switches_median,unnecessary_source_switches_Q1,unnecessary_source_switches_Q3,unnecessary_source_switches_min,unnecessary_source_switches_max,unnecessary_source_switches_ci_low,unnecessary_source_switches_ci_high,vps_confidence_available_rate_percent_N,vps_confidence_available_rate_percent_mean,vps_confidence_available_rate_percent_std,vps_confidence_available_rate_percent_median,vps_confidence_available_rate_percent_Q1,vps_confidence_available_rate_percent_Q3,vps_confidence_available_rate_percent_min,vps_confidence_available_rate_percent_max,vps_confidence_available_rate_percent_ci_low,vps_confidence_available_rate_percent_ci_high,vps_map_id_available_rate_percent_N,vps_map_id_available_rate_percent_mean,vps_map_id_available_rate_percent_std,vps_map_id_available_rate_percent_median,vps_map_id_available_rate_percent_Q1,vps_map_id_available_rate_percent_Q3,vps_map_id_available_rate_percent_min,vps_map_id_available_rate_percent_max,vps_map_id_available_rate_percent_ci_low,vps_map_id_available_rate_percent_ci_high,vps_map_match_rate_percent_N,vps_map_match_rate_percent_mean,vps_map_match_rate_percent_std,vps_map_match_rate_percent_median,vps_map_match_rate_percent_Q1,vps_map_match_rate_percent_Q3,vps_map_match_rate_percent_min,vps_map_match_rate_percent_max,vps_map_match_rate_percent_ci_low,vps_map_match_rate_percent_ci_high,vps_reliability_mean_when_valid_N,vps_reliability_mean_when_valid_mean,vps_reliability_mean_when_valid_std,vps_reliability_mean_when_valid_median,vps_reliability_mean_when_valid_Q1,vps_reliability_mean_when_valid_Q3,vps_reliability_mean_when_valid_min,vps_reliability_mean_when_valid_max,vps_reliability_mean_when_valid_ci_low,vps_reliability_mean_when_valid_ci_high
V2,NONE,6,0,0,,,,4,16,25.0,10.18,49.5,0,,,,,,,,,,4,85.5897,97.2998,45.5745,33.6065,97.5577,21.02,230.19,-69.2359,240.4154,6,1.7042,0.011,1.711,1.6952,1.711,1.69,1.712,1.6926,1.7157,6,5.092,0.1555,5.0983,5.0573,5.1736,4.8266,5.2863,4.9288,5.2552,0,,,,,,,,,,0,,,,,,,,,,6,2.6667,1.0328,2.0,2.0,3.5,2.0,4.0,1.5828,3.7505,6,1.3333,2.0656,0.0,0.0,3.0,0.0,4.0,-0.8344,3.501,6,35.3767,8.4935,34.75,33.1975,36.8575,23.08,49.44,26.4632,44.2901,6,35.3767,8.4935,34.75,33.1975,36.8575,23.08,49.44,26.4632,44.2901,6,35.3767,8.4935,34.75,33.1975,36.8575,23.08,49.44,26.4632,44.2901,6,0.8809,0.0032,0.8798,0.879,0.8827,0.8773,0.886,0.8775,0.8843
V2,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,6,0.0,0.0,39.03,2,21.294,0.0,21.294,21.294,21.294,21.294,21.294,21.294,21.294,3,15.2457,1.6945,16.224,14.7565,16.224,13.289,16.224,11.0362,19.4551,1,1.676,0.0,1.676,1.676,1.676,1.676,1.676,,,3,5.386,0.1273,5.3806,5.321,5.4482,5.2614,5.5159,5.0696,5.7023,2,5.5928,0.0,5.5928,5.5928,5.5928,5.5928,5.5928,5.5928,5.5928,2,115.163,0.0,115.163,115.163,115.163,115.163,115.163,115.163,115.163,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,61.4967,11.567,62.32,55.93,67.475,49.54,72.63,32.7627,90.2307,3,61.4967,11.567,62.32,55.93,67.475,49.54,72.63,32.7627,90.2307,3,61.4967,11.567,62.32,55.93,67.475,49.54,72.63,32.7627,90.2307,3,0.882,0.0056,0.8846,0.88,0.8852,0.8755,0.8858,0.868,0.896
V3,GPS_TO_VPS,13,10,12,83.33,55.2,95.3,20,32,62.5,45.25,77.07,10,3.7371,2.2891,2.881,2.3475,3.342,2.2,9.126,2.0995,5.3747,11,12.3884,18.6383,4.356,3.164,8.448,0.0,56.437,-0.133,24.9097,10,2.2501,0.9023,1.7315,1.7025,3.0315,1.014,3.842,1.6046,2.8956,13,5.1666,0.1038,5.1747,5.1305,5.2001,5.0067,5.3732,5.1038,5.2293,10,3.6276,7.5366,1.8931,0.629,2.1092,0.0,24.9319,-1.7638,9.0189,10,44.4015,58.1692,16.0165,15.0463,54.6088,0.0,148.993,2.7898,86.0132,13,2.4615,2.7573,1.0,0.0,6.0,0.0,6.0,0.7953,4.1277,13,2.3846,2.8148,0.0,0.0,6.0,0.0,6.0,0.6837,4.0856,13,24.23,17.2952,33.7,8.06,35.19,0.0,48.91,13.7786,34.6814,13,23.0685,18.444,33.7,5.65,35.19,0.0,48.91,11.9229,34.2141,13,23.0685,18.444,33.7,5.65,35.19,0.0,48.91,11.9229,34.2141,10,0.8837,0.0075,0.8817,0.8791,0.889,0.8715,0.8969,0.8784,0.8891
V3,NONE,7,0,0,,,,20,33,60.61,43.68,75.32,0,,,,,,,,,,5,28.284,17.3141,17.251,16.47,42.081,14.014,51.604,6.7857,49.7823,6,1.703,0.0198,1.7005,1.6953,1.7132,1.674,1.732,1.6822,1.7238,7,5.1252,0.1624,5.1519,5.0172,5.2534,4.8732,5.3099,4.975,5.2754,0,,,,,,,,,,0,,,,,,,,,,7,4.7143,1.2536,4.0,4.0,6.0,3.0,6.0,3.5549,5.8736,7,4.7143,1.2536,4.0,4.0,6.0,3.0,6.0,3.5549,5.8736,7,35.5143,8.9683,35.23,34.605,36.695,20.0,50.77,27.22,43.8086,7,35.5143,8.9683,35.23,34.605,36.695,20.0,50.77,27.22,43.8086,7,35.5143,8.9683,35.23,34.605,36.695,20.0,50.77,27.22,43.8086,6,0.881,0.0049,0.8795,0.877,0.884,0.8769,0.8886,0.8759,0.8861
V3,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,5,0.0,0.0,43.45,2,6.084,0.0,6.084,6.084,6.084,6.084,6.084,6.084,6.084,3,3.7263,0.571,4.056,3.5615,4.056,3.067,4.056,2.3079,5.1448,0,,,,,,,,,,3,5.2025,0.1405,5.266,5.1537,5.283,5.0414,5.3,4.8534,5.5515,2,2.2834,0.0,2.2834,2.2834,2.2834,2.2834,2.2834,2.2834,2.2834,2,129.265,0.0,129.265,129.265,129.265,129.265,129.265,129.265,129.265,3,1.6667,0.5774,2.0,1.5,2.0,1.0,2.0,0.2324,3.1009,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,74.99,19.0501,83.08,68.155,85.87,53.23,88.66,27.6669,122.3131,3,74.99,19.0501,83.08,68.155,85.87,53.23,88.66,27.6669,122.3131,3,74.99,19.0501,83.08,68.155,85.87,53.23,88.66,27.6669,122.3131,2,0.8863,0.0016,0.8863,0.8858,0.8868,0.8852,0.8874,0.8723,0.9003
V4,GPS_TO_VPS,12,10,11,90.91,62.26,98.38,10,21,47.62,28.34,67.63,10,4.2994,1.9595,3.415,3.4068,3.4375,3.331,9.018,2.8977,5.7011,11,9.4446,6.1735,8.409,6.515,9.5705,2.034,25.638,5.2972,13.592,10,2.2529,0.9401,1.7185,1.6943,3.0045,1.002,4.028,1.5804,2.9254,12,5.2141,0.1856,5.2635,5.2046,5.301,4.6927,5.4049,5.0962,5.332,9,1.0856,0.8173,1.5741,0.0,1.6111,0.0,1.805,0.4574,1.7139,9,9.0428,6.9843,12.11,0.0,15.026,0.0,15.555,3.6742,14.4114,12,1.75,2.1794,0.5,0.0,4.0,0.0,6.0,0.3652,3.1348,12,1.5,2.2764,0.0,0.0,4.0,0.0,6.0,0.0537,2.9463,12,27.8908,11.8895,25.465,23.66,33.93,0.0,50.0,20.3366,35.4451,12,26.6967,12.3737,23.185,21.33,33.93,0.0,50.0,18.8348,34.5585,12,22.53,12.2308,21.37,21.0925,33.6625,0.0,37.61,14.7589,30.3011,10,0.8795,0.0047,0.8803,0.8769,0.8817,0.8703,0.8871,0.8761,0.8828
V4,NONE,7,0,0,,,,10,22,45.45,26.92,65.34,0,,,,,,,,,,7,12.0684,7.8528,14.34,5.6455,18.122,1.179,21.425,4.8058,19.3311,5,1.6778,0.0172,1.673,1.666,1.678,1.665,1.707,1.6565,1.6991,7,5.1074,0.1465,5.1202,5.0,5.2072,4.9222,5.2951,4.9719,5.2429,0,,,,,,,,,,0,,,,,,,,,,7,3.1429,1.8645,4.0,1.5,4.0,1.0,6.0,1.4185,4.8672,7,2.5714,2.5071,4.0,0.0,4.0,0.0,6.0,0.2527,4.8901,7,39.67,10.9413,34.55,33.475,42.47,31.25,60.0,29.5509,49.7891,7,39.67,10.9413,34.55,33.475,42.47,31.25,60.0,29.5509,49.7891,7,23.9557,16.417,32.47,15.625,34.515,0.0,34.94,8.7725,39.1389,5,0.8789,0.0127,0.8821,0.881,0.8867,0.8567,0.8879,0.8631,0.8947
V4,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,6,0.0,0.0,39.03,2,10.521,0.7085,10.521,10.2705,10.7715,10.02,11.022,4.1552,16.8868,3,6.7337,1.25,6.012,6.012,7.0945,6.012,8.177,3.6286,9.8387,1,1.706,0.0,1.706,1.706,1.706,1.706,1.706,,,3,5.2813,0.13,5.3251,5.2301,5.3544,5.1351,5.3838,4.9584,5.6043,2,0.3613,0.0158,0.3613,0.3557,0.3668,0.3501,0.3724,0.2196,0.5029,2,18.586,0.0,18.586,18.586,18.586,18.586,18.586,18.586,18.586,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,70.7433,12.1064,72.41,65.15,77.17,57.89,81.93,40.6695,100.8172,3,70.7433,12.1064,72.41,65.15,77.17,57.89,81.93,40.6695,100.8172,3,70.7433,12.1064,72.41,65.15,77.17,57.89,81.93,40.6695,100.8172,3,0.8796,0.0045,0.8809,0.8777,0.8821,0.8745,0.8833,0.8683,0.8909
V5,GPS_TO_VPS,12,11,11,100.0,74.12,100.0,2,14,14.29,4.01,39.94,11,4.2579,1.8666,3.46,3.4205,3.5495,3.356,9.027,3.0039,5.5119,10,24.927,39.9141,9.733,9.4228,14.2155,5.151,135.762,-3.6258,53.4798,11,2.2099,0.9094,1.73,1.68,3.0045,1.003,4.049,1.599,2.8208,12,5.1725,0.1355,5.2276,5.1573,5.2658,4.8672,5.2714,5.0864,5.2586,10,5.0418,9.9579,1.2341,1.1521,1.3115,0.0,31.7989,-2.0816,12.1652,10,21.8156,44.1215,11.3205,3.8377,12.1135,0.0,146.468,-9.747,53.3782,12,1.1667,1.3371,1.0,0.0,2.0,0.0,4.0,0.3171,2.0162,12,0.3333,1.1547,0.0,0.0,0.0,0.0,4.0,-0.4003,1.067,12,24.8083,10.8211,27.945,18.0,33.6275,0.0,35.96,17.9329,31.6837,12,21.7375,12.9127,21.91,11.94,33.6275,0.0,35.96,13.5332,29.9418,12,21.7375,12.9127,21.91,11.94,33.6275,0.0,35.96,13.5332,29.9418,11,0.8815,0.0061,0.8798,0.8773,0.886,0.8711,0.8912,0.8774,0.8856
V5,NONE,7,0,0,,,,2,15,13.33,3.74,37.88,0,,,,,,,,,,5,8.5716,6.7084,6.232,3.1,15.43,2.08,16.016,0.242,16.9012,6,1.6938,0.0197,1.6975,1.6892,1.705,1.659,1.715,1.6731,1.7146,7,5.0921,0.229,5.0458,4.931,5.2888,4.7816,5.3776,4.8803,5.3038,0,,,,,,,,,,0,,,,,,,,,,7,2.1429,0.8997,2.0,2.0,2.0,1.0,4.0,1.3107,2.975,7,0.5714,1.5119,0.0,0.0,0.0,0.0,4.0,-0.8268,1.9697,7,35.5814,12.4767,33.55,33.33,35.605,17.65,60.0,24.0424,47.1205,7,35.5814,12.4767,33.55,33.33,35.605,17.65,60.0,24.0424,47.1205,7,35.5814,12.4767,33.55,33.33,35.605,17.65,60.0,24.0424,47.1205,6,0.8813,0.0073,0.8839,0.88,0.8848,0.8679,0.8885,0.8737,0.8889
V5,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,6,0.0,0.0,39.03,2,26.5795,0.7092,26.5795,26.3287,26.8302,26.078,27.081,20.2073,32.9517,3,15.0513,12.1498,22.066,11.544,22.066,1.022,22.066,-15.1303,45.233,1,1.717,0.0,1.717,1.717,1.717,1.717,1.717,,,3,5.3751,0.2594,5.469,5.2755,5.5217,5.0819,5.5745,4.7308,6.0194,2,0.8153,0.0356,0.8153,0.8027,0.8279,0.7901,0.8405,0.4951,1.1355,2,26.303,0.0,26.303,26.303,26.303,26.303,26.303,26.303,26.303,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,51.4933,10.0436,50.0,46.14,56.1,42.28,62.2,26.5436,76.443,3,51.4933,10.0436,50.0,46.14,56.1,42.28,62.2,26.5436,76.443,3,51.4933,10.0436,50.0,46.14,56.1,42.28,62.2,26.5436,76.443,3,0.882,0.0051,0.8813,0.8793,0.8844,0.8773,0.8875,0.8693,0.8948
