harmony_version,direction,N_trials,HSR_numerator,HSR_denominator,HSR_percent,HSR_ci_low,HSR_ci_high,FHR_numerator,FHR_denominator,FHR_percent,FHR_ci_low,FHR_ci_high,handover_latency_s_N,handover_latency_s_mean,handover_latency_s_std,handover_latency_s_median,handover_latency_s_Q1,handover_latency_s_Q3,handover_latency_s_min,handover_latency_s_max,handover_latency_s_ci_low,handover_latency_s_ci_high,pdr_transition_duration_s_N,pdr_transition_duration_s_mean,pdr_transition_duration_s_std,pdr_transition_duration_s_median,pdr_transition_duration_s_Q1,pdr_transition_duration_s_Q3,pdr_transition_duration_s_min,pdr_transition_duration_s_max,pdr_transition_duration_s_ci_low,pdr_transition_duration_s_ci_high,vps_localization_time_s_mean_N,vps_localization_time_s_mean_mean,vps_localization_time_s_mean_std,vps_localization_time_s_mean_median,vps_localization_time_s_mean_Q1,vps_localization_time_s_mean_Q3,vps_localization_time_s_mean_min,vps_localization_time_s_mean_max,vps_localization_time_s_mean_ci_low,vps_localization_time_s_mean_ci_high,gps_accuracy_m_mean_N,gps_accuracy_m_mean_mean,gps_accuracy_m_mean_std,gps_accuracy_m_mean_median,gps_accuracy_m_mean_Q1,gps_accuracy_m_mean_Q3,gps_accuracy_m_mean_min,gps_accuracy_m_mean_max,gps_accuracy_m_mean_ci_low,gps_accuracy_m_mean_ci_high,position_jump_m_reconstructed_N,position_jump_m_reconstructed_mean,position_jump_m_reconstructed_std,position_jump_m_reconstructed_median,position_jump_m_reconstructed_Q1,position_jump_m_reconstructed_Q3,position_jump_m_reconstructed_min,position_jump_m_reconstructed_max,position_jump_m_reconstructed_ci_low,position_jump_m_reconstructed_ci_high,heading_jump_deg_reconstructed_N,heading_jump_deg_reconstructed_mean,heading_jump_deg_reconstructed_std,heading_jump_deg_reconstructed_median,heading_jump_deg_reconstructed_Q1,heading_jump_deg_reconstructed_Q3,heading_jump_deg_reconstructed_min,heading_jump_deg_reconstructed_max,heading_jump_deg_reconstructed_ci_low,heading_jump_deg_reconstructed_ci_high,source_transitions_total_N,source_transitions_total_mean,source_transitions_total_std,source_transitions_total_median,source_transitions_total_Q1,source_transitions_total_Q3,source_transitions_total_min,source_transitions_total_max,source_transitions_total_ci_low,source_transitions_total_ci_high,unnecessary_source_switches_N,unnecessary_source_switches_mean,unnecessary_source_switches_std,unnecessary_source_switches_median,unnecessary_source_switches_Q1,unnecessary_source_switches_Q3,unnecessary_source_switches_min,unnecessary_source_switches_max,unnecessary_source_switches_ci_low,unnecessary_source_switches_ci_high,vps_confidence_available_rate_percent_N,vps_confidence_available_rate_percent_mean,vps_confidence_available_rate_percent_std,vps_confidence_available_rate_percent_median,vps_confidence_available_rate_percent_Q1,vps_confidence_available_rate_percent_Q3,vps_confidence_available_rate_percent_min,vps_confidence_available_rate_percent_max,vps_confidence_available_rate_percent_ci_low,vps_confidence_available_rate_percent_ci_high,vps_map_id_available_rate_percent_N,vps_map_id_available_rate_percent_mean,vps_map_id_available_rate_percent_std,vps_map_id_available_rate_percent_median,vps_map_id_available_rate_percent_Q1,vps_map_id_available_rate_percent_Q3,vps_map_id_available_rate_percent_min,vps_map_id_available_rate_percent_max,vps_map_id_available_rate_percent_ci_low,vps_map_id_available_rate_percent_ci_high,vps_map_match_rate_percent_N,vps_map_match_rate_percent_mean,vps_map_match_rate_percent_std,vps_map_match_rate_percent_median,vps_map_match_rate_percent_Q1,vps_map_match_rate_percent_Q3,vps_map_match_rate_percent_min,vps_map_match_rate_percent_max,vps_map_match_rate_percent_ci_low,vps_map_match_rate_percent_ci_high,vps_reliability_mean_when_valid_N,vps_reliability_mean_when_valid_mean,vps_reliability_mean_when_valid_std,vps_reliability_mean_when_valid_median,vps_reliability_mean_when_valid_Q1,vps_reliability_mean_when_valid_Q3,vps_reliability_mean_when_valid_min,vps_reliability_mean_when_valid_max,vps_reliability_mean_when_valid_ci_low,vps_reliability_mean_when_valid_ci_high
V2,NONE,6,0,0,,,,4,16,25.0,10.18,49.5,0,,,,,,,,,,4,85.5897,97.2998,45.5745,33.6065,97.5577,21.02,230.19,-69.2359,240.4154,6,1.7042,0.011,1.711,1.6952,1.711,1.69,1.712,1.6926,1.7157,6,5.092,0.1555,5.0983,5.0573,5.1736,4.8266,5.2863,4.9288,5.2552,0,,,,,,,,,,0,,,,,,,,,,6,2.6667,1.0328,2.0,2.0,3.5,2.0,4.0,1.5828,3.7505,6,1.3333,2.0656,0.0,0.0,3.0,0.0,4.0,-0.8344,3.501,6,35.3767,8.4935,34.75,33.1975,36.8575,23.08,49.44,26.4632,44.2901,6,35.3767,8.4935,34.75,33.1975,36.8575,23.08,49.44,26.4632,44.2901,6,35.3767,8.4935,34.75,33.1975,36.8575,23.08,49.44,26.4632,44.2901,6,0.8809,0.0032,0.8798,0.879,0.8827,0.8773,0.886,0.8775,0.8843
V2,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,6,0.0,0.0,39.03,2,21.294,0.0,21.294,21.294,21.294,21.294,21.294,21.294,21.294,3,15.2457,1.6945,16.224,14.7565,16.224,13.289,16.224,11.0362,19.4551,1,1.676,0.0,1.676,1.676,1.676,1.676,1.676,,,3,5.386,0.1273,5.3806,5.321,5.4482,5.2614,5.5159,5.0696,5.7023,2,5.5928,0.0,5.5928,5.5928,5.5928,5.5928,5.5928,5.5928,5.5928,2,115.163,0.0,115.163,115.163,115.163,115.163,115.163,115.163,115.163,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,61.4967,11.567,62.32,55.93,67.475,49.54,72.63,32.7627,90.2307,3,61.4967,11.567,62.32,55.93,67.475,49.54,72.63,32.7627,90.2307,3,61.4967,11.567,62.32,55.93,67.475,49.54,72.63,32.7627,90.2307,3,0.882,0.0056,0.8846,0.88,0.8852,0.8755,0.8858,0.868,0.896
V3,GPS_TO_VPS,7,5,7,71.43,35.89,91.78,20,32,62.5,45.25,77.07,5,2.3438,0.1049,2.32,2.307,2.43,2.2,2.462,2.2136,2.474,5,20.8672,26.343,5.149,1.033,41.717,0.0,56.437,-11.842,53.5764,5,1.7122,0.0206,1.707,1.701,1.719,1.69,1.744,1.6866,1.7378,7,5.1472,0.1424,5.1305,5.0285,5.2314,5.0067,5.3732,5.0155,5.2789,5,2.0172,0.1261,2.0178,1.926,2.1397,1.8602,2.1421,1.8606,2.1737,5,15.7476,0.7056,15.653,15.122,16.38,15.021,16.562,14.8715,16.6237,7,4.5714,1.9881,6.0,3.5,6.0,1.0,6.0,2.7328,6.4101,7,4.4286,2.2991,6.0,3.5,6.0,0.0,6.0,2.3023,6.5549,7,38.8386,6.881,35.19,34.815,42.22,33.7,48.91,32.4747,45.2024,7,38.8386,6.881,35.19,34.815,42.22,33.7,48.91,32.4747,45.2024,7,38.8386,6.881,35.19,34.815,42.22,33.7,48.91,32.4747,45.2024,5,0.8839,0.0045,0.8824,0.8809,0.8878,0.8788,0.8894,0.8782,0.8895
V3,NONE,7,0,0,,,,20,33,60.61,43.68,75.32,0,,,,,,,,,,5,28.284,17.3141,17.251,16.47,42.081,14.014,51.604,6.7857,49.7823,6,1.703,0.0198,1.7005,1.6953,1.7132,1.674,1.732,1.6822,1.7238,7,5.1252,0.1624,5.1519,5.0172,5.2534,4.8732,5.3099,4.975,5.2754,0,,,,,,,,,,0,,,,,,,,,,7,4.7143,1.2536,4.0,4.0,6.0,3.0,6.0,3.5549,5.8736,7,4.7143,1.2536,4.0,4.0,6.0,3.0,6.0,3.5549,5.8736,7,35.5143,8.9683,35.23,34.605,36.695,20.0,50.77,27.22,43.8086,7,35.5143,8.9683,35.23,34.605,36.695,20.0,50.77,27.22,43.8086,7,35.5143,8.9683,35.23,34.605,36.695,20.0,50.77,27.22,43.8086,6,0.881,0.0049,0.8795,0.877,0.884,0.8769,0.8886,0.8759,0.8861
V3,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,5,0.0,0.0,43.45,2,6.084,0.0,6.084,6.084,6.084,6.084,6.084,6.084,6.084,3,3.7263,0.571,4.056,3.5615,4.056,3.067,4.056,2.3079,5.1448,0,,,,,,,,,,3,5.2025,0.1405,5.266,5.1537,5.283,5.0414,5.3,4.8534,5.5515,2,2.2834,0.0,2.2834,2.2834,2.2834,2.2834,2.2834,2.2834,2.2834,2,129.265,0.0,129.265,129.265,129.265,129.265,129.265,129.265,129.265,3,1.6667,0.5774,2.0,1.5,2.0,1.0,2.0,0.2324,3.1009,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,74.99,19.0501,83.08,68.155,85.87,53.23,88.66,27.6669,122.3131,3,74.99,19.0501,83.08,68.155,85.87,53.23,88.66,27.6669,122.3131,3,74.99,19.0501,83.08,68.155,85.87,53.23,88.66,27.6669,122.3131,2,0.8863,0.0016,0.8863,0.8858,0.8868,0.8852,0.8874,0.8723,0.9003
V4,GPS_TO_VPS,6,5,6,83.33,43.65,96.99,10,21,47.62,28.34,67.63,5,3.4018,0.0424,3.406,3.404,3.427,3.331,3.441,3.3491,3.4545,5,9.5752,9.2665,7.018,5.133,8.053,2.034,25.638,-1.9307,21.0811,5,1.6974,0.0265,1.698,1.693,1.704,1.659,1.733,1.6645,1.7303,6,5.1472,0.2533,5.1883,5.0919,5.3088,4.6927,5.4049,4.8814,5.413,5,1.6412,0.0935,1.6111,1.5924,1.6232,1.5741,1.805,1.5251,1.7572,5,14.2516,1.4221,15.026,13.508,15.059,12.11,15.555,12.4858,16.0174,6,3.5,1.7607,4.0,2.5,4.0,1.0,6.0,1.6523,5.3477,6,3.0,2.4495,4.0,1.0,4.0,0.0,6.0,0.4294,5.5706,6,35.7167,8.156,34.04,33.6625,36.7725,25.0,50.0,27.1575,44.2759,6,35.7167,8.156,34.04,33.6625,36.7725,25.0,50.0,27.1575,44.2759,6,27.3833,14.0542,33.715,27.1525,34.15,0.0,37.61,12.6344,42.1323,5,0.8776,0.0049,0.8799,0.8751,0.881,0.8703,0.8819,0.8716,0.8837
V4,NONE,7,0,0,,,,10,22,45.45,26.92,65.34,0,,,,,,,,,,7,12.0684,7.8528,14.34,5.6455,18.122,1.179,21.425,4.8058,19.3311,5,1.6778,0.0172,1.673,1.666,1.678,1.665,1.707,1.6565,1.6991,7,5.1074,0.1465,5.1202,5.0,5.2072,4.9222,5.2951,4.9719,5.2429,0,,,,,,,,,,0,,,,,,,,,,7,3.1429,1.8645,4.0,1.5,4.0,1.0,6.0,1.4185,4.8672,7,2.5714,2.5071,4.0,0.0,4.0,0.0,6.0,0.2527,4.8901,7,39.67,10.9413,34.55,33.475,42.47,31.25,60.0,29.5509,49.7891,7,39.67,10.9413,34.55,33.475,42.47,31.25,60.0,29.5509,49.7891,7,23.9557,16.417,32.47,15.625,34.515,0.0,34.94,8.7725,39.1389,5,0.8789,0.0127,0.8821,0.881,0.8867,0.8567,0.8879,0.8631,0.8947
V4,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,6,0.0,0.0,39.03,2,10.521,0.7085,10.521,10.2705,10.7715,10.02,11.022,4.1552,16.8868,3,6.7337,1.25,6.012,6.012,7.0945,6.012,8.177,3.6286,9.8387,1,1.706,0.0,1.706,1.706,1.706,1.706,1.706,,,3,5.2813,0.13,5.3251,5.2301,5.3544,5.1351,5.3838,4.9584,5.6043,2,0.3613,0.0158,0.3613,0.3557,0.3668,0.3501,0.3724,0.2196,0.5029,2,18.586,0.0,18.586,18.586,18.586,18.586,18.586,18.586,18.586,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,70.7433,12.1064,72.41,65.15,77.17,57.89,81.93,40.6695,100.8172,3,70.7433,12.1064,72.41,65.15,77.17,57.89,81.93,40.6695,100.8172,3,70.7433,12.1064,72.41,65.15,77.17,57.89,81.93,40.6695,100.8172,3,0.8796,0.0045,0.8809,0.8777,0.8821,0.8745,0.8833,0.8683,0.8909
V5,GPS_TO_VPS,6,6,6,100.0,60.97,100.0,2,14,14.29,4.01,39.94,6,3.4658,0.0801,3.465,3.4225,3.5015,3.356,3.587,3.3818,3.5498,4,46.7937,60.8631,23.131,8.805,61.1197,5.151,135.762,-50.0531,143.6406,6,1.7065,0.0415,1.7055,1.6765,1.7285,1.657,1.768,1.663,1.75,6,5.1046,0.1691,5.1095,5.0022,5.255,4.8672,5.2714,4.9271,5.2821,6,1.2296,0.0713,1.2341,1.1659,1.2792,1.1511,1.3211,1.1548,1.3045,6,11.7083,0.6521,11.502,11.2662,12.1135,11.037,12.704,11.024,12.3926,6,2.3333,0.8165,2.0,2.0,2.0,2.0,4.0,1.4765,3.1902,6,0.6667,1.633,0.0,0.0,0.0,0.0,4.0,-1.0471,2.3804,6,33.6633,1.5027,33.675,32.6275,34.3475,31.82,35.96,32.0863,35.2403,6,33.6633,1.5027,33.675,32.6275,34.3475,31.82,35.96,32.0863,35.2403,6,33.6633,1.5027,33.675,32.6275,34.3475,31.82,35.96,32.0863,35.2403,6,0.8822,0.0059,0.8819,0.8775,0.8851,0.8757,0.8912,0.876,0.8883
V5,NONE,7,0,0,,,,2,15,13.33,3.74,37.88,0,,,,,,,,,,5,8.5716,6.7084,6.232,3.1,15.43,2.08,16.016,0.242,16.9012,6,1.6938,0.0197,1.6975,1.6892,1.705,1.659,1.715,1.6731,1.7146,7,5.0921,0.229,5.0458,4.931,5.2888,4.7816,5.3776,4.8803,5.3038,0,,,,,,,,,,0,,,,,,,,,,7,2.1429,0.8997,2.0,2.0,2.0,1.0,4.0,1.3107,2.975,7,0.5714,1.5119,0.0,0.0,0.0,0.0,4.0,-0.8268,1.9697,7,35.5814,12.4767,33.55,33.33,35.605,17.65,60.0,24.0424,47.1205,7,35.5814,12.4767,33.55,33.33,35.605,17.65,60.0,24.0424,47.1205,7,35.5814,12.4767,33.55,33.33,35.605,17.65,60.0,24.0424,47.1205,6,0.8813,0.0073,0.8839,0.88,0.8848,0.8679,0.8885,0.8737,0.8889
V5,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,6,0.0,0.0,39.03,2,26.5795,0.7092,26.5795,26.3287,26.8302,26.078,27.081,20.2073,32.9517,3,15.0513,12.1498,22.066,11.544,22.066,1.022,22.066,-15.1303,45.233,1,1.717,0.0,1.717,1.717,1.717,1.717,1.717,,,3,5.3751,0.2594,5.469,5.2755,5.5217,5.0819,5.5745,4.7308,6.0194,2,0.8153,0.0356,0.8153,0.8027,0.8279,0.7901,0.8405,0.4951,1.1355,2,26.303,0.0,26.303,26.303,26.303,26.303,26.303,26.303,26.303,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,51.4933,10.0436,50.0,46.14,56.1,42.28,62.2,26.5436,76.443,3,51.4933,10.0436,50.0,46.14,56.1,42.28,62.2,26.5436,76.443,3,51.4933,10.0436,50.0,46.14,56.1,42.28,62.2,26.5436,76.443,3,0.882,0.0051,0.8813,0.8793,0.8844,0.8773,0.8875,0.8693,0.8948
