session_id,scenario_id,harmony_version,direction,provenance,events_file,samples_file,summary_file,included_in_target_report,validation_status
20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA,KB17,BQ,NONE,REAL,combined_root_v2/KB17/20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA/events_20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA.csv,combined_root_v2/KB17/20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA/samples_20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA.csv,combined_root_v2/KB17/20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA/summary_20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA.csv,True,VALID
20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379,KB17,V1,NONE,REAL,combined_root_v2/KB17/20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379/events_20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379.csv,combined_root_v2/KB17/20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379/samples_20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379.csv,combined_root_v2/KB17/20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379/summary_20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379.csv,True,VALID
20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8,KB17,V4,NONE,REAL,combined_root_v2/KB17/20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8/events_20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8.csv,combined_root_v2/KB17/20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8/samples_20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8.csv,combined_root_v2/KB17/20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8/summary_20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8.csv,True,VALID
20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31,KB17,V3,NONE,REAL,combined_root_v2/KB17/20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31/events_20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31.csv,combined_root_v2/KB17/20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31/samples_20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31.csv,combined_root_v2/KB17/20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31/summary_20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31.csv,True,VALID
20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE,KB17,V2,NONE,REAL,combined_root_v2/KB17/20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE/events_20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE.csv,combined_root_v2/KB17/20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE/samples_20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE.csv,combined_root_v2/KB17/20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE/summary_20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE.csv,True,VALID
20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329,KB24,V4,NONE,REAL,combined_root_v2/KB24/20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329/events_20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329.csv,combined_root_v2/KB24/20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329/samples_20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329.csv,combined_root_v2/KB24/20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329/summary_20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329.csv,True,VALID
20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7,KB24,V3,NONE,REAL,combined_root_v2/KB24/20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7/events_20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7.csv,combined_root_v2/KB24/20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7/samples_20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7.csv,combined_root_v2/KB24/20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7/summary_20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7.csv,True,VALID
20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D,KB24,V2,NONE,REAL,combined_root_v2/KB24/20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D/events_20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D.csv,combined_root_v2/KB24/20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D/samples_20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D.csv,combined_root_v2/KB24/20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D/summary_20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D.csv,True,VALID
20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683,KB24,V5,NONE,REAL,combined_root_v2/KB24/20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683/events_20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683.csv,combined_root_v2/KB24/20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683/samples_20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683.csv,combined_root_v2/KB24/20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683/summary_20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683.csv,True,VALID
20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510,KB24,BQ,NONE,REAL,combined_root_v2/KB24/20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510/events_20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510.csv,combined_root_v2/KB24/20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510/samples_20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510.csv,combined_root_v2/KB24/20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510/summary_20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510.csv,True,VALID
20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40,KB24,BT,NONE,REAL,combined_root_v2/KB24/20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40/events_20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40.csv,combined_root_v2/KB24/20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40/samples_20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40.csv,combined_root_v2/KB24/20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40/summary_20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40.csv,True,VALID
20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951,KB24,V1,NONE,REAL,combined_root_v2/KB24/20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951/events_20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951.csv,combined_root_v2/KB24/20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951/samples_20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951.csv,combined_root_v2/KB24/20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951/summary_20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951.csv,True,VALID
20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F,KB10,V1,NONE,REAL,combined_root_v2/KB10/20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F/events_20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F.csv,combined_root_v2/KB10/20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F/samples_20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F.csv,combined_root_v2/KB10/20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F/summary_20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F.csv,True,VALID
20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED,KB10,V3,NONE,REAL,combined_root_v2/KB10/20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED/events_20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED.csv,combined_root_v2/KB10/20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED/samples_20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED.csv,combined_root_v2/KB10/20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED/summary_20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED.csv,True,VALID
20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88,KB10,V2,NONE,REAL,combined_root_v2/KB10/20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88/events_20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88.csv,combined_root_v2/KB10/20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88/samples_20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88.csv,combined_root_v2/KB10/20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88/summary_20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88.csv,True,VALID
20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6,KB10,V4,NONE,REAL,combined_root_v2/KB10/20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6/events_20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6.csv,combined_root_v2/KB10/20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6/samples_20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6.csv,combined_root_v2/KB10/20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6/summary_20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6.csv,True,VALID
20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1,KB10,V5,NONE,REAL,combined_root_v2/KB10/20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1/events_20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1.csv,combined_root_v2/KB10/20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1/samples_20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1.csv,combined_root_v2/KB10/20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1/summary_20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1.csv,True,VALID
20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000,KB02,V1,VPS_TO_GPS,REAL,combined_root_v2/KB02/20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000_1/events_20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000_1.csv,combined_root_v2/KB02/20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000_1/samples_20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000_1.csv,combined_root_v2/KB02/20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000_1/summary_20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000_1.csv,True,VALID
20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E,KB02,V5,VPS_TO_GPS,REAL,combined_root_v2/KB02/20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E_1/events_20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E_1.csv,combined_root_v2/KB02/20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E_1/samples_20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E_1.csv,combined_root_v2/KB02/20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E_1/summary_20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E_1.csv,True,VALID
20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D,KB02,V3,VPS_TO_GPS,REAL,combined_root_v2/KB02/20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D_1/events_20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D_1.csv,combined_root_v2/KB02/20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D_1/samples_20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D_1.csv,combined_root_v2/KB02/20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D_1/summary_20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D_1.csv,True,VALID
20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C,KB02,V2,VPS_TO_GPS,REAL,combined_root_v2/KB02/20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C_1/events_20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C_1.csv,combined_root_v2/KB02/20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C_1/samples_20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C_1.csv,combined_root_v2/KB02/20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C_1/summary_20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C_1.csv,True,VALID
20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F,KB02,BQ,VPS_TO_GPS,REAL,combined_root_v2/KB02/20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F_1/events_20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F_1.csv,combined_root_v2/KB02/20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F_1/samples_20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F_1.csv,combined_root_v2/KB02/20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F_1/summary_20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F_1.csv,True,VALID
20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1,KB02,V4,VPS_TO_GPS,REAL,combined_root_v2/KB02/20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1_1/events_20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1_1.csv,combined_root_v2/KB02/20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1_1/samples_20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1_1.csv,combined_root_v2/KB02/20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1_1/summary_20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1_1.csv,True,VALID
20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228,KB02,BT,VPS_TO_GPS,REAL,combined_root_v2/KB02/20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228_1/events_20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228_1.csv,combined_root_v2/KB02/20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228_1/samples_20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228_1.csv,combined_root_v2/KB02/20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228_1/summary_20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228_1.csv,True,VALID
20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313,KB11,V2,NONE,REAL,combined_root_v2/KB11/20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313/events_20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313.csv,combined_root_v2/KB11/20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313/samples_20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313.csv,combined_root_v2/KB11/20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313/summary_20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313.csv,True,VALID
