session_id,scenario_id,harmony_version,direction,provenance,generation_tier,grounding_strength,validation_status,events_file
20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40,KB24,BT,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB24/20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40/events_20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40.csv
20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951,KB24,V1,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB24/20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951/events_20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951.csv
20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F,KB10,V1,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB10/20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F/events_20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F.csv
20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED,KB10,V3,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB10/20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED/events_20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED.csv
20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88,KB10,V2,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB10/20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88/events_20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88.csv
20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6,KB10,V4,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB10/20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6/events_20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6.csv
20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1,KB10,V5,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB10/20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1/events_20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1.csv
20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000,KB02,V1,VPS_TO_GPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB02/20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000_1/events_20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000_1.csv
20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E,KB02,V5,VPS_TO_GPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB02/20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E_1/events_20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E_1.csv
20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D,KB02,V3,VPS_TO_GPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB02/20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D_1/events_20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D_1.csv
20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C,KB02,V2,VPS_TO_GPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB02/20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C_1/events_20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C_1.csv
20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F,KB02,BQ,VPS_TO_GPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB02/20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F_1/events_20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F_1.csv
20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1,KB02,V4,VPS_TO_GPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB02/20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1_1/events_20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1_1.csv
20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228,KB02,BT,VPS_TO_GPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB02/20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228_1/events_20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228_1.csv
20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313,KB11,V2,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB11/20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313/events_20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313.csv
20260915_090604_072_BQ_GPS_TO_VPS_NORMAL_DEV_4784,KB11,BQ,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB11/20260915_090604_072_BQ_GPS_TO_VPS_NORMAL_DEV_4784/events_20260915_090604_072_BQ_GPS_TO_VPS_NORMAL_DEV_4784.csv
20260915_090305_638_V5_GPS_TO_VPS_NORMAL_DEV_F25A,KB11,V5,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB11/20260915_090305_638_V5_GPS_TO_VPS_NORMAL_DEV_F25A/events_20260915_090305_638_V5_GPS_TO_VPS_NORMAL_DEV_F25A.csv
20260915_085533_277_V3_GPS_TO_VPS_NORMAL_DEV_93D6,KB11,V3,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB11/20260915_085533_277_V3_GPS_TO_VPS_NORMAL_DEV_93D6/events_20260915_085533_277_V3_GPS_TO_VPS_NORMAL_DEV_93D6.csv
20260915_084744_254_V1_GPS_TO_VPS_NORMAL_DEV_7E4F,KB11,V1,NONE,REAL,real_recorded,,VALID_WITH_WARNINGS,FINAL_DATASET/KB11/20260915_084744_254_V1_GPS_TO_VPS_NORMAL_DEV_7E4F/events_20260915_084744_254_V1_GPS_TO_VPS_NORMAL_DEV_7E4F.csv
20260915_090910_119_BT_GPS_TO_VPS_NORMAL_DEV_8D8B,KB11,BT,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB11/20260915_090910_119_BT_GPS_TO_VPS_NORMAL_DEV_8D8B/events_20260915_090910_119_BT_GPS_TO_VPS_NORMAL_DEV_8D8B.csv
20260915_085823_623_V4_GPS_TO_VPS_NORMAL_DEV_FB68,KB11,V4,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB11/20260915_085823_623_V4_GPS_TO_VPS_NORMAL_DEV_FB68/events_20260915_085823_623_V4_GPS_TO_VPS_NORMAL_DEV_FB68.csv
20260912_034750_793_BT_GPS_TO_VPS_NORMAL_DEV_EB50,KB18,BT,GPS_TO_VPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB18/20260912_034750_793_BT_GPS_TO_VPS_NORMAL_DEV_EB50/events_20260912_034750_793_BT_GPS_TO_VPS_NORMAL_DEV_EB50.csv
20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,KB18,V3,GPS_TO_VPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB18/20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA/events_20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA.csv
20260912_031840_651_V2_GPS_TO_VPS_NORMAL_DEV_1844,KB18,V2,GPS_TO_VPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB18/20260912_031840_651_V2_GPS_TO_VPS_NORMAL_DEV_1844/events_20260912_031840_651_V2_GPS_TO_VPS_NORMAL_DEV_1844.csv
20260912_030230_879_V1_GPS_TO_VPS_NORMAL_DEV_DCB4,KB18,V1,GPS_TO_VPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB18/20260912_030230_879_V1_GPS_TO_VPS_NORMAL_DEV_DCB4/events_20260912_030230_879_V1_GPS_TO_VPS_NORMAL_DEV_DCB4.csv
20260912_034402_407_V5_GPS_TO_VPS_NORMAL_DEV_EC78,KB18,V5,GPS_TO_VPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB18/20260912_034402_407_V5_GPS_TO_VPS_NORMAL_DEV_EC78/events_20260912_034402_407_V5_GPS_TO_VPS_NORMAL_DEV_EC78.csv
20260912_034104_595_V4_GPS_TO_VPS_NORMAL_DEV_294C,KB18,V4,GPS_TO_VPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB18/20260912_034104_595_V4_GPS_TO_VPS_NORMAL_DEV_294C/events_20260912_034104_595_V4_GPS_TO_VPS_NORMAL_DEV_294C.csv
20260912_034626_883_BQ_GPS_TO_VPS_NORMAL_DEV_F465,KB18,BQ,GPS_TO_VPS,REAL,real_recorded,,VALID,FINAL_DATASET/KB18/20260912_034626_883_BQ_GPS_TO_VPS_NORMAL_DEV_F465/events_20260912_034626_883_BQ_GPS_TO_VPS_NORMAL_DEV_F465.csv
SYNTH_KB01_BT_3686_FWD,KB01,BT,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB01/SYNTH_KB01_BT_3686_FWD/events_SYNTH_KB01_BT_3686_FWD.csv
SYNTH_KB01_V3_4565_FWD,KB01,V3,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB01/SYNTH_KB01_V3_4565_FWD/events_SYNTH_KB01_V3_4565_FWD.csv
SYNTH_KB01_V5_8420_FWD,KB01,V5,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB01/SYNTH_KB01_V5_8420_FWD/events_SYNTH_KB01_V5_8420_FWD.csv
SYNTH_KB01_BQ_4605_FWD,KB01,BQ,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB01/SYNTH_KB01_BQ_4605_FWD/events_SYNTH_KB01_BQ_4605_FWD.csv
SYNTH_KB01_V1_3432_FWD,KB01,V1,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB01/SYNTH_KB01_V1_3432_FWD/events_SYNTH_KB01_V1_3432_FWD.csv
SYNTH_KB01_V2_6790_FWD,KB01,V2,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB01/SYNTH_KB01_V2_6790_FWD/events_SYNTH_KB01_V2_6790_FWD.csv
SYNTH_KB01_V4_2725_FWD,KB01,V4,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB01/SYNTH_KB01_V4_2725_FWD/events_SYNTH_KB01_V4_2725_FWD.csv
SYNTH_KB07_BT_7937_FWD,KB07,BT,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB07/SYNTH_KB07_BT_7937_FWD/events_SYNTH_KB07_BT_7937_FWD.csv
SYNTH_KB07_V3_3028_FWD,KB07,V3,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB07/SYNTH_KB07_V3_3028_FWD/events_SYNTH_KB07_V3_3028_FWD.csv
SYNTH_KB07_V2_1612_FWD,KB07,V2,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB07/SYNTH_KB07_V2_1612_FWD/events_SYNTH_KB07_V2_1612_FWD.csv
SYNTH_KB07_V4_1350_FWD,KB07,V4,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB07/SYNTH_KB07_V4_1350_FWD/events_SYNTH_KB07_V4_1350_FWD.csv
SYNTH_KB07_BQ_8168_FWD,KB07,BQ,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB07/SYNTH_KB07_BQ_8168_FWD/events_SYNTH_KB07_BQ_8168_FWD.csv
SYNTH_KB07_V5_3045_FWD,KB07,V5,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB07/SYNTH_KB07_V5_3045_FWD/events_SYNTH_KB07_V5_3045_FWD.csv
SYNTH_KB07_V1_3545_FWD,KB07,V1,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB07/SYNTH_KB07_V1_3545_FWD/events_SYNTH_KB07_V1_3545_FWD.csv
SYNTH_KB28_BQ_3258_FWD,KB28,BQ,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID_WITH_WARNINGS,FINAL_DATASET/_synthetic_missing_scenarios/KB28/SYNTH_KB28_BQ_3258_FWD/events_SYNTH_KB28_BQ_3258_FWD.csv
SYNTH_KB28_V1_9871_FWD,KB28,V1,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID_WITH_WARNINGS,FINAL_DATASET/_synthetic_missing_scenarios/KB28/SYNTH_KB28_V1_9871_FWD/events_SYNTH_KB28_V1_9871_FWD.csv
SYNTH_KB28_V5_7389_FWD,KB28,V5,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID_WITH_WARNINGS,FINAL_DATASET/_synthetic_missing_scenarios/KB28/SYNTH_KB28_V5_7389_FWD/events_SYNTH_KB28_V5_7389_FWD.csv
SYNTH_KB28_V3_6467_FWD,KB28,V3,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID_WITH_WARNINGS,FINAL_DATASET/_synthetic_missing_scenarios/KB28/SYNTH_KB28_V3_6467_FWD/events_SYNTH_KB28_V3_6467_FWD.csv
SYNTH_KB28_BT_8681_FWD,KB28,BT,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID_WITH_WARNINGS,FINAL_DATASET/_synthetic_missing_scenarios/KB28/SYNTH_KB28_BT_8681_FWD/events_SYNTH_KB28_BT_8681_FWD.csv
SYNTH_KB28_V4_6180_FWD,KB28,V4,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID_WITH_WARNINGS,FINAL_DATASET/_synthetic_missing_scenarios/KB28/SYNTH_KB28_V4_6180_FWD/events_SYNTH_KB28_V4_6180_FWD.csv
SYNTH_KB28_V2_7947_FWD,KB28,V2,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID_WITH_WARNINGS,FINAL_DATASET/_synthetic_missing_scenarios/KB28/SYNTH_KB28_V2_7947_FWD/events_SYNTH_KB28_V2_7947_FWD.csv
SYNTH_KB08_V3_8524_FWD,KB08,V3,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB08/SYNTH_KB08_V3_8524_FWD/events_SYNTH_KB08_V3_8524_FWD.csv
SYNTH_KB08_V4_3753_FWD,KB08,V4,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB08/SYNTH_KB08_V4_3753_FWD/events_SYNTH_KB08_V4_3753_FWD.csv
SYNTH_KB08_V5_6545_FWD,KB08,V5,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB08/SYNTH_KB08_V5_6545_FWD/events_SYNTH_KB08_V5_6545_FWD.csv
SYNTH_KB08_V1_7591_FWD,KB08,V1,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB08/SYNTH_KB08_V1_7591_FWD/events_SYNTH_KB08_V1_7591_FWD.csv
SYNTH_KB08_V2_4393_FWD,KB08,V2,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB08/SYNTH_KB08_V2_4393_FWD/events_SYNTH_KB08_V2_4393_FWD.csv
SYNTH_KB08_BT_1159_FWD,KB08,BT,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB08/SYNTH_KB08_BT_1159_FWD/events_SYNTH_KB08_BT_1159_FWD.csv
SYNTH_KB08_BQ_3771_FWD,KB08,BQ,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB08/SYNTH_KB08_BQ_3771_FWD/events_SYNTH_KB08_BQ_3771_FWD.csv
SYNTH_KB21_V2_3348_FWD,KB21,V2,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB21/SYNTH_KB21_V2_3348_FWD/events_SYNTH_KB21_V2_3348_FWD.csv
SYNTH_KB21_BQ_2228_FWD,KB21,BQ,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB21/SYNTH_KB21_BQ_2228_FWD/events_SYNTH_KB21_BQ_2228_FWD.csv
SYNTH_KB21_BT_7814_FWD,KB21,BT,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB21/SYNTH_KB21_BT_7814_FWD/events_SYNTH_KB21_BT_7814_FWD.csv
SYNTH_KB21_V5_3934_FWD,KB21,V5,GPS_TO_VPS,SYNTHETIC_SUPPORT,missing_scenario (Task 2 original 12-list: KB01/04/07/08/21/28),,VALID,FINAL_DATASET/_synthetic_missing_scenarios/KB21/SYNTH_KB21_V5_3934_FWD/events_SYNTH_KB21_V5_3934_FWD.csv
