session_id,validation_status,validation_notes,harmony_version,harmony_profile,direction,destination,duration_s,start_utc,end_utc,completed,end_reason,n_samples,n_events,quality_gate,temporal_dwell,map_id_check,recovery_fsm,adaptive_guidance,handover_success_reconstructed,handover_latency_s,handover_start_s,handover_end_s,handover_note,handover_success_summary,handover_success_mismatch,source_transitions_total,switch_count_Gps_to_Pdr,switch_count_Pdr_to_Gps,switch_count_Pdr_to_Vps,switch_count_Vps_to_Pdr,switch_count_Gps_to_Vps,switch_count_Vps_to_Gps,false_handover_count,evaluable_switches,false_handover_rate_percent,oscillation_episode_count,unnecessary_source_switches,source_toggle_count_summary,source_toggle_count_reconstructed,source_toggle_count_mismatch,vps_attempts_total,vps_attempts_success,vps_attempts_timeout,vps_attempts_unresolved,vps_localization_time_s_n,vps_localization_time_s_mean,vps_localization_time_s_median,vps_localization_time_s_sd,vps_localization_time_s_min,vps_localization_time_s_max,vps_localization_time_last_s,vps_localization_outcome_last,pdr_transition_duration_s,gps_reliability_at_acceptance,vps_reliability_at_acceptance,gps_stable_s_at_acceptance,vps_stable_s_at_acceptance,position_jump_m_reconstructed,heading_jump_deg_reconstructed,position_jump_note,position_jump_m_logger_column,position_jump_m_logger_note,gps_accuracy_m_n,gps_accuracy_m_mean,gps_accuracy_m_median,gps_accuracy_m_sd,gps_accuracy_m_min,gps_accuracy_m_max,gps_reliability_mean,gps_reliability_median,gps_age_s_mean,gps_age_s_max,pdr_steps_total,pdr_confidence_mean,pdr_confidence_median,vps_reliability_mean_when_valid,vps_confidence_available_rate_percent,vps_map_id_available_rate_percent,vps_map_match_rate_percent,handover_attempts_total_summary,handover_attempts_evaluable_summary,successful_handovers_summary,false_handovers_summary,hsr_percent_summary,fhr_percent_summary,events_file,samples_file,summary_file
20260912_062236_926_V1_GPS_TO_VPS_NORMAL_DEV_DA16,VALID,,V1,Fixed Geometric,GPS_TO_VPS,B9-103,130.202,2026-09-12T06:22:36.9266650Z,,1.0,,127.0,363.0,0.0,0.0,0.0,0.0,0.0,1.0,2.004,93.745,95.749,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.657,1.657,0.0,1.657,1.657,1.657,success,27.765,0.132,0.5,0.0,0.0,3.6151,31.441,reconstructed from campus_x/campus_y at +/-2.0s window,3.6151,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,127.0,5.1004,5.119,0.2428,4.487,5.774,0.4856,0.132,23.3692,76.597,11.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,25.0,,,
20260912_063230_287_BT_GPS_TO_VPS_NORMAL_DEV_7870,VALID,,BT,Quality + Dwell Baseline,GPS_TO_VPS,B9-103,121.284,2026-09-12T06:32:30.2878450Z,,1.0,,119.0,390.0,1.0,1.0,0.0,0.0,0.0,1.0,2.746,87.157,89.903,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.755,1.755,0.0,1.755,1.755,1.755,success,31.846,0.132,0.5,0.0,0.0,2.0369,17.844,reconstructed from campus_x/campus_y at +/-2.0s window,2.0369,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,119.0,5.1283,5.134,0.2476,4.434,5.725,0.6312,0.9,11.8117,51.578,13.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,25.0,,,
20260912_054551_539_V4_GPS_TO_VPS_NORMAL_DEV_5680,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run.",V4,No Map-ID Check,GPS_TO_VPS,B9-103,104.637,2026-09-12T05:45:51.5398000Z,,0.0,,100.0,558.0,1.0,1.0,0.0,1.0,0.0,0.0,,75.267,87.267,,0.0,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,1.0,10.427,10.427,0.0,10.427,10.427,10.427,timeout_fallback,25.638,0.113,0.5,0.0,0.0,0.0,0.224,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,100.0,5.141,5.1315,0.2464,4.399,5.748,0.4747,0.113,18.5916,60.548,36.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
20260912_060829_927_V2_GPS_TO_VPS_NORMAL_DEV_F796,VALID,,V2,Reliable Handover,GPS_TO_VPS,B9-103,116.486,2026-09-12T06:08:29.9271720Z,,1.0,,111.0,356.0,1.0,1.0,1.0,1.0,0.0,1.0,3.552,83.727,87.279,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.714,1.714,0.0,1.714,1.714,1.714,success,48.342,0.113,0.5,0.0,0.0,1.2131,10.403,reconstructed from campus_x/campus_y at +/-2.0s window,1.2131,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,111.0,5.0004,5.011,0.238,4.33,5.592,0.5491,0.782,14.2407,55.403,49.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260915_042934_425_V5_GPS_TO_VPS_NORMAL_DEV_5F97,VALID,,V5,Full HARMONY,GPS_TO_VPS,B9-104,117.647,2026-09-15T04:29:34.4253510Z,,1.0,,114.0,58.0,1.0,1.0,1.0,1.0,1.0,1.0,3.43,83.002,86.432,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.661,1.661,0.0,1.661,1.661,1.661,success,,0.15,0.5,0.0,0.0,1.1245,10.573,reconstructed from campus_x/campus_y at +/-2.0s window,1.1245,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,114.0,5.0906,5.0815,0.2556,4.537,5.854,0.1665,0.15,60.2162,117.547,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,,,
20260915_044338_595_BT_GPS_TO_VPS_NORMAL_DEV_FBA2,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run.",BT,Quality + Dwell Baseline,GPS_TO_VPS,B9-104,125.21,2026-09-15T04:43:38.5950480Z,,0.0,,120.0,223.0,1.0,1.0,0.0,0.0,0.0,0.0,,90.151,102.151,,0.0,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,1.0,10.429,10.429,0.0,10.429,10.429,10.429,timeout_fallback,51.333,0.755,0.5,12.35,0.0,0.444,2.526,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,120.0,4.9285,4.897,0.2512,4.273,5.582,0.6295,0.8705,7.3267,36.26,32.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,,BQ,Quality-Threshold Baseline,GPS_TO_VPS,B9-104,150.45,2026-09-15T04:39:45.2887630Z,,1.0,,148.0,4217.0,1.0,0.0,0.0,0.0,0.0,1.0,2.467,108.276,110.743,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.706,1.706,0.0,1.706,1.706,1.706,success,14.2,0.928,0.5,48.217,0.0,2.9269,23.433,reconstructed from campus_x/campus_y at +/-2.0s window,2.9269,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,148.0,4.9998,5.007,0.2464,4.413,5.756,0.5575,0.4535,34.9534,111.295,22.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,25.0,,,
20260915_041512_690_V1_GPS_TO_VPS_NORMAL_DEV_858E,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run.",V1,Fixed Geometric,GPS_TO_VPS,B9-102,181.95,2026-09-15T04:15:12.6903720Z,,0.0,,177.0,3773.0,0.0,0.0,0.0,0.0,0.0,0.0,,130.884,142.884,,0.0,False,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,66.67,1.0,3.0,3.0,3.0,False,1.0,0.0,1.0,0.0,1.0,11.528,11.528,0.0,11.528,11.528,11.528,timeout_fallback,36.55,0.956,0.5,21.4,0.0,0.013,0.277,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,177.0,4.8159,4.807,0.2508,4.032,5.525,0.682,0.889,4.2474,24.25,30.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,33.3,,,
20260915_041925_984_V2_GPS_TO_VPS_NORMAL_DEV_3309,VALID,,V2,Reliable Handover,GPS_TO_VPS,B9-104,87.75,2026-09-15T04:19:25.9840140Z,,1.0,,86.0,225.0,1.0,1.0,1.0,1.0,0.0,1.0,3.475,63.132,66.607,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.639,1.639,0.0,1.639,1.639,1.639,success,17.35,0.882,0.5,58.45,0.0,1.3045,11.128,reconstructed from campus_x/campus_y at +/-2.0s window,1.3045,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,86.0,5.199,5.195,0.2462,4.585,5.829,0.777,0.9315,2.4467,12.95,46.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260915_042149_473_V3_GPS_TO_VPS_NORMAL_DEV_DC42,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run.",V3,No Dwell Time,GPS_TO_VPS,B9-104,130.833,2026-09-15T04:21:49.4736220Z,,0.0,,129.0,548.0,1.0,0.0,1.0,1.0,0.0,0.0,,94.092,106.092,,0.0,False,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,66.67,1.0,3.0,3.0,3.0,False,1.0,0.0,1.0,0.0,1.0,11.412,11.412,0.0,11.412,11.412,11.412,timeout_fallback,41.717,0.132,0.5,0.0,0.0,0.2392,18.53,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,129.0,4.8693,4.837,0.2762,4.201,5.669,0.4296,0.132,16.1928,54.3,3.0,0.9,0.9,,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,33.3,,,
20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,,V4,No Map-ID Check,GPS_TO_VPS,B9-104,121.629,2026-09-15T04:25:29.1325200Z,,1.0,,117.0,959.0,1.0,1.0,0.0,1.0,0.0,1.0,3.117,82.833,85.95,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.643,1.643,0.0,1.643,1.643,1.643,success,5.133,0.991,0.5,18.9,0.0,1.4721,11.994,reconstructed from campus_x/campus_y at +/-2.0s window,1.4721,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,117.0,5.3998,5.42,0.241,4.793,5.957,0.7851,0.898,2.3587,10.9,12.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,25.0,,,
20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run.",V1,Fixed Geometric,GPS_TO_VPS,B9-104,38.779,2026-09-10T07:00:11.1207610Z,,0.0,,38.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,32.0,,0.0,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,1.0,11.371,11.371,0.0,11.371,11.371,11.371,timeout_fallback,12.315,0.956,0.5,14.383,0.0,2.073,9.31,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,38.0,5.2198,5.199,0.2411,4.653,5.699,0.9059,0.956,1.3138,5.166,3.0,0.9,0.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53,VALID,,V2,Reliable Handover,GPS_TO_VPS,B9-106,73.778,2026-09-10T06:58:33.4040440Z,,1.0,,70.0,114.0,1.0,1.0,1.0,1.0,0.0,1.0,3.506,53.024,56.53,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.607,1.607,0.0,1.607,1.607,1.607,success,37.802,0.833,0.5,53.55,0.0,1.2469,10.971,reconstructed from campus_x/campus_y at +/-2.0s window,1.2469,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,70.0,5.2846,5.2995,0.2553,4.621,5.867,0.8447,0.9205,2.0221,10.015,25.0,0.8989,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
