session_id,scenario_id,harmony_version,direction,validation_status,teacher_usable,usable_for_out_to_in,usable_for_in_to_out,usable_for_indoor,usable_for_outdoor,usable_for_failure_recovery,usable_for_timing,usable_for_pose_jump,warning_reason
20260912_054937_286_V5_GPS_TO_VPS_NORMAL_DEV_890A,KB22,V5,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_074926_945_BQ_GPS_TO_VPS_NORMAL_DEV_F2F8,KB22,BQ,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
20260915_042149_473_V3_GPS_TO_VPS_NORMAL_DEV_DC42,KB25,V3,GPS_TO_VPS,VALID,True,True,False,True,True,True,True,False,
20260915_042934_425_V5_GPS_TO_VPS_NORMAL_DEV_5F97,KB25,V5,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260915_044338_595_BT_GPS_TO_VPS_NORMAL_DEV_FBA2,KB25,BT,GPS_TO_VPS,VALID,True,True,False,True,True,True,True,False,
20260915_041512_690_V1_GPS_TO_VPS_NORMAL_DEV_858E,KB25,V1,GPS_TO_VPS,VALID,True,True,False,True,True,True,True,False,
20260915_041925_984_V2_GPS_TO_VPS_NORMAL_DEV_3309,KB25,V2,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,KB25,V4,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,KB25,BQ,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
20260912_102314_139_V5_GPS_TO_VPS_NORMAL_DEV_D1F5,KB30,V5,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,KB30,V2,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_100806_809_V1_GPS_TO_VPS_NORMAL_DEV_ECFB,KB30,V1,GPS_TO_VPS,VALID,True,True,False,True,True,True,True,False,
20260912_101928_244_V4_GPS_TO_VPS_NORMAL_DEV_FB48,KB30,V4,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_101528_381_V3_GPS_TO_VPS_NORMAL_DEV_7F59,KB30,V3,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_102732_818_BQ_GPS_TO_VPS_NORMAL_DEV_78D0,KB30,BQ,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_103114_765_BT_GPS_TO_VPS_NORMAL_DEV_F9B7,KB30,BT,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_100055_923_V3_GPS_TO_VPS_NORMAL_DEV_5573,KB05,V3,GPS_TO_VPS,VALID,True,True,False,True,True,True,True,False,
20260912_095520_181_V5_GPS_TO_VPS_NORMAL_DEV_0C4B,KB05,V5,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
20260912_094231_050_V3_GPS_TO_VPS_NORMAL_DEV_15A4,KB05,V3,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_095057_405_BQ_GPS_TO_VPS_NORMAL_DEV_104B,KB05,BQ,GPS_TO_VPS,VALID,True,True,False,True,False,True,True,False,
20260912_095000_805_V2_GPS_TO_VPS_NORMAL_DEV_8903,KB05,V2,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_095408_236_BT_GPS_TO_VPS_NORMAL_DEV_FAAF,KB05,BT,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
20260912_095714_923_V4_GPS_TO_VPS_NORMAL_DEV_F016,KB05,V4,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
