session_id,validation_status,validation_notes,harmony_version,harmony_profile,direction,scenario_id,destination,duration_s,start_utc,end_utc,completed,end_reason,n_samples,n_events,quality_gate,temporal_dwell,map_id_check,recovery_fsm,adaptive_guidance,handover_success_reconstructed,handover_latency_s,handover_note,handover_success_summary,handover_success_mismatch,source_transitions_total,switch_count_Gps_to_Pdr,switch_count_Pdr_to_Gps,switch_count_Pdr_to_Vps,switch_count_Vps_to_Pdr,switch_count_Gps_to_Vps,switch_count_Vps_to_Gps,false_handover_count,evaluable_switches,false_handover_rate_percent,oscillation_episode_count,unnecessary_source_switches,source_toggle_count_summary,source_toggle_count_reconstructed,source_toggle_count_mismatch,vps_attempts_total,vps_attempts_success,vps_attempts_timeout,vps_attempts_unresolved,vps_localization_time_s_n,vps_localization_time_s_mean,vps_localization_time_s_median,vps_localization_time_s_sd,vps_localization_time_s_min,vps_localization_time_s_max,vps_localization_time_last_s,vps_localization_outcome_last,pdr_transition_duration_s,gps_reliability_at_acceptance,vps_reliability_at_acceptance,gps_stable_s_at_acceptance,vps_stable_s_at_acceptance,position_jump_m_reconstructed,heading_jump_deg_reconstructed,position_jump_note,position_jump_m_logger_column,position_jump_m_logger_note,gps_accuracy_m_n,gps_accuracy_m_mean,gps_accuracy_m_median,gps_accuracy_m_sd,gps_accuracy_m_min,gps_accuracy_m_max,gps_reliability_mean,gps_reliability_median,gps_age_s_mean,gps_age_s_max,pdr_steps_total,pdr_confidence_mean,pdr_confidence_median,vps_reliability_mean_when_valid,vps_confidence_available_rate_percent,vps_map_id_available_rate_percent,vps_map_match_rate_percent,handover_attempts_total_summary,handover_attempts_evaluable_summary,successful_handovers_summary,false_handovers_summary,hsr_percent_summary,fhr_percent_summary,handover_start_s,handover_end_s
20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5,VALID,,V3,No Dwell Time,NONE,KB14,B9-104,45.172,2026-09-10T06:57:24.9543130Z,,1.0,destination_reached,42,91,1,0,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.696,1.696,0.0,1.696,1.696,1.696,success,42.081,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.9194,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,42,4.8732,4.8695,0.1955,4.48,5.313,0.872,0.956,1.732,8.998,7,0.8981,0.9,0.8772,38.1,38.1,38.1,1.0,1.0,1.0,2,100.0,50.0,,
20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853,VALID,,V4,No Map-ID Check,NONE,KB14,B9-104,77.861,2026-09-10T06:52:20.8245140Z,,1.0,destination_reached,77,461,1,1,0,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.678,1.678,0.0,1.678,1.678,1.678,success,6.133,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.6214,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,77,5.2812,5.27,0.1865,4.664,5.691,0.3572,0.113,13.6361,42.798,26,0.8813,0.9,0.8879,32.47,32.47,32.47,1.0,1.0,1.0,0,100.0,0.0,,
20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7,VALID,,V1,Fixed Geometric,NONE,KB14,B9-104,38.779,2026-09-10T07:00:11.1207610Z,,1.0,destination_reached,38,102,0,0,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,0.0,,1,1,0,0,0,0,0,0,1,0.0,0,0,1,1,False,1,0,1,0,0,,,,,,,timeout_fallback,12.315,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,38,5.103,5.1315,0.1825,4.762,5.577,0.9059,0.956,1.3138,5.166,3,0.9,0.9,,47.37,47.37,47.37,1.0,1.0,0.0,0,0.0,0.0,,
20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53,VALID,,V2,Reliable Handover,NONE,KB14,B9-106,73.778,2026-09-10T06:58:33.4040440Z,,1.0,destination_reached,70,114,1,1,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.711,1.711,0.0,1.711,1.711,1.711,success,37.802,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.3322,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,70,5.083,5.0955,0.2374,4.516,5.649,0.8447,0.9205,2.0221,10.015,25,0.8989,0.9,0.8791,32.86,32.86,32.86,1.0,1.0,1.0,0,100.0,0.0,,
20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795,VALID,,V5,Full HARMONY,NONE,KB17,B9-104,85.444,2026-09-15T04:24:45.8351180Z,,1.0,destination_reached,81,667,1,1,1,1,1,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.689,1.689,0.0,1.689,1.689,1.689,success,6.232,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.2998,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,81,4.9485,4.937,0.2044,4.585,5.435,0.7945,0.9,2.5186,12.815,7,0.8951,0.9,0.8885,33.33,33.33,33.33,1.0,1.0,1.0,0,100.0,0.0,,
20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706,VALID,,BT,Quality + Dwell Baseline,NONE,KB17,B9-104,58.058,2026-09-15T04:26:48.9423350Z,,1.0,destination_reached,54,883,1,1,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,0.0,,1,1,0,0,0,0,0,0,1,0.0,0,0,1,1,False,1,0,1,0,0,,,,,,,timeout_fallback,,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,54,4.9848,4.9835,0.1935,4.497,5.343,0.8328,0.975,2.6195,13.678,0,,,,51.85,51.85,51.85,1.0,1.0,0.0,0,0.0,0.0,,
20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA,VALID,,BQ,Quality-Threshold Baseline,NONE,KB17,B9-204,52.695,2026-09-15T04:22:06.5673020Z,,1.0,destination_reached,52,457,1,0,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.693,1.693,0.0,1.693,1.693,1.693,success,,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,3.0232,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,52,5.1185,5.1,0.2416,4.568,5.587,0.132,0.132,132.5963,158.83,20,0.9,0.9,0.8817,34.62,34.62,34.62,1.0,1.0,1.0,2,100.0,50.0,,
20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379,VALID,,V1,Fixed Geometric,NONE,KB17,B9-104,47.072,2026-09-11T08:14:10.3442860Z,,1.0,destination_reached,47,25,0,0,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.643,1.643,0.0,1.643,1.643,1.643,success,9.051,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,3.518,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,47,4.9378,4.967,0.1875,4.6,5.488,0.8807,0.899,1.2431,4.592,0,0.9,0.9,0.8857,68.09,68.09,68.09,1.0,1.0,1.0,2,100.0,50.0,,
20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8,VALID,,V4,No Map-ID Check,NONE,KB17,B9-104,57.345,2026-09-11T10:58:54.9629200Z,,1.0,destination_reached,55,227,1,1,0,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,6,3,2,1,0,0,0,4,6,66.67,1,6,6,6,False,1,1,0,0,1,1.673,1.673,0.0,1.673,1.673,1.673,success,1.179,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.4776,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,55,4.9489,4.934,0.1748,4.597,5.288,0.5237,0.681,6.2889,24.244,35,0.8898,0.9,0.8821,34.55,34.55,34.55,1.0,1.0,1.0,4,100.0,66.7,,
20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31,VALID,,V3,No Dwell Time,NONE,KB17,B9-104,97.297,2026-09-11T10:56:39.9122680Z,,1.0,destination_reached,97,1063,1,0,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.695,1.695,0.0,1.695,1.695,1.695,success,17.251,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.9668,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,97,5.1519,5.135,0.191,4.712,5.596,0.859,0.952,1.669,9.517,16,0.9,0.9,0.8817,34.02,34.02,34.02,1.0,1.0,1.0,2,100.0,50.0,,
20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE,VALID,,V2,Reliable Handover,NONE,KB17,B9-104,70.535,2026-09-11T08:18:32.9617900Z,,1.0,destination_reached,68,508,1,1,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.69,1.69,0.0,1.69,1.69,1.69,success,,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.255,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,68,5.0487,5.049,0.1788,4.567,5.424,0.7499,0.9345,3.1734,15.437,0,,,0.879,35.29,35.29,35.29,1.0,1.0,1.0,0,100.0,0.0,,
20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329,VALID,,V4,No Map-ID Check,NONE,KB24,B9-105,258.317,2026-09-12T10:27:36.0279030Z,,1.0,destination_reached,249,4226,1,1,0,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.665,1.665,0.0,1.665,1.665,1.665,success,21.425,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.7098,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,249,5.1202,5.129,0.2124,4.595,5.781,0.4394,0.113,41.3519,142.308,16,0.9,0.9,0.881,34.94,34.94,34.94,1.0,1.0,1.0,2,100.0,50.0,,
20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7,VALID,,V3,No Dwell Time,NONE,KB24,B9-EXIT,176.727,2026-09-12T10:21:34.8880390Z,,1.0,destination_reached,170,1268,1,0,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,6,3,2,1,0,0,0,4,6,66.67,1,6,6,6,False,1,1,0,0,1,1.716,1.716,0.0,1.716,1.716,1.716,success,16.47,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,2.0592,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,170,5.3099,5.307,0.1927,4.859,5.811,0.2294,0.132,50.8571,130.227,12,0.8958,0.9,0.8769,35.29,35.29,35.29,1.0,1.0,1.0,4,100.0,66.7,,
20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D,VALID,,V2,Reliable Handover,NONE,KB24,B9-201,314.629,2026-09-12T10:13:55.2850640Z,,1.0,destination_reached,305,1083,1,1,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.712,1.712,0.0,1.712,1.712,1.712,success,230.19,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.2539,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,305,5.2863,5.282,0.2012,4.725,5.827,0.7605,0.909,3.1499,24.773,6,0.9,0.9,0.8835,37.38,37.38,37.38,1.0,1.0,1.0,0,100.0,0.0,,
20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683,VALID,,V5,Full HARMONY,NONE,KB24,B9-203,156.566,2026-09-12T10:24:49.5852390Z,,1.0,destination_reached,152,1140,1,1,1,1,1,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.659,1.659,0.0,1.659,1.659,1.659,success,3.1,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.2409,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,152,5.2411,5.2455,0.1757,4.783,5.644,0.3601,0.113,43.0033,115.393,13,0.9,0.9,0.8829,33.55,33.55,33.55,1.0,1.0,1.0,0,100.0,0.0,,
20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510,VALID,,BQ,Quality-Threshold Baseline,NONE,KB24,B9-101,71.21,2026-09-12T10:34:41.5802050Z,,1.0,destination_reached,65,202,1,0,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.706,1.706,0.0,1.706,1.706,1.706,success,5.129,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,2.9338,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,65,5.1643,5.155,0.1769,4.751,5.686,0.4203,0.132,8.9814,25.213,3,0.9,0.9,0.8869,35.38,35.38,35.38,1.0,1.0,1.0,2,100.0,50.0,,
