harmony_version,direction,N_trials,HSR_numerator,HSR_denominator,HSR_percent,HSR_ci_low,HSR_ci_high,FHR_numerator,FHR_denominator,FHR_percent,FHR_ci_low,FHR_ci_high,handover_latency_s_N,handover_latency_s_mean,handover_latency_s_std,handover_latency_s_median,handover_latency_s_Q1,handover_latency_s_Q3,handover_latency_s_min,handover_latency_s_max,handover_latency_s_ci_low,handover_latency_s_ci_high,pdr_transition_duration_s_N,pdr_transition_duration_s_mean,pdr_transition_duration_s_std,pdr_transition_duration_s_median,pdr_transition_duration_s_Q1,pdr_transition_duration_s_Q3,pdr_transition_duration_s_min,pdr_transition_duration_s_max,pdr_transition_duration_s_ci_low,pdr_transition_duration_s_ci_high,vps_localization_time_s_mean_N,vps_localization_time_s_mean_mean,vps_localization_time_s_mean_std,vps_localization_time_s_mean_median,vps_localization_time_s_mean_Q1,vps_localization_time_s_mean_Q3,vps_localization_time_s_mean_min,vps_localization_time_s_mean_max,vps_localization_time_s_mean_ci_low,vps_localization_time_s_mean_ci_high,gps_accuracy_m_mean_N,gps_accuracy_m_mean_mean,gps_accuracy_m_mean_std,gps_accuracy_m_mean_median,gps_accuracy_m_mean_Q1,gps_accuracy_m_mean_Q3,gps_accuracy_m_mean_min,gps_accuracy_m_mean_max,gps_accuracy_m_mean_ci_low,gps_accuracy_m_mean_ci_high,position_jump_m_reconstructed_N,position_jump_m_reconstructed_mean,position_jump_m_reconstructed_std,position_jump_m_reconstructed_median,position_jump_m_reconstructed_Q1,position_jump_m_reconstructed_Q3,position_jump_m_reconstructed_min,position_jump_m_reconstructed_max,position_jump_m_reconstructed_ci_low,position_jump_m_reconstructed_ci_high,heading_jump_deg_reconstructed_N,heading_jump_deg_reconstructed_mean,heading_jump_deg_reconstructed_std,heading_jump_deg_reconstructed_median,heading_jump_deg_reconstructed_Q1,heading_jump_deg_reconstructed_Q3,heading_jump_deg_reconstructed_min,heading_jump_deg_reconstructed_max,heading_jump_deg_reconstructed_ci_low,heading_jump_deg_reconstructed_ci_high,source_transitions_total_N,source_transitions_total_mean,source_transitions_total_std,source_transitions_total_median,source_transitions_total_Q1,source_transitions_total_Q3,source_transitions_total_min,source_transitions_total_max,source_transitions_total_ci_low,source_transitions_total_ci_high,unnecessary_source_switches_N,unnecessary_source_switches_mean,unnecessary_source_switches_std,unnecessary_source_switches_median,unnecessary_source_switches_Q1,unnecessary_source_switches_Q3,unnecessary_source_switches_min,unnecessary_source_switches_max,unnecessary_source_switches_ci_low,unnecessary_source_switches_ci_high,vps_confidence_available_rate_percent_N,vps_confidence_available_rate_percent_mean,vps_confidence_available_rate_percent_std,vps_confidence_available_rate_percent_median,vps_confidence_available_rate_percent_Q1,vps_confidence_available_rate_percent_Q3,vps_confidence_available_rate_percent_min,vps_confidence_available_rate_percent_max,vps_confidence_available_rate_percent_ci_low,vps_confidence_available_rate_percent_ci_high,vps_map_id_available_rate_percent_N,vps_map_id_available_rate_percent_mean,vps_map_id_available_rate_percent_std,vps_map_id_available_rate_percent_median,vps_map_id_available_rate_percent_Q1,vps_map_id_available_rate_percent_Q3,vps_map_id_available_rate_percent_min,vps_map_id_available_rate_percent_max,vps_map_id_available_rate_percent_ci_low,vps_map_id_available_rate_percent_ci_high,vps_map_match_rate_percent_N,vps_map_match_rate_percent_mean,vps_map_match_rate_percent_std,vps_map_match_rate_percent_median,vps_map_match_rate_percent_Q1,vps_map_match_rate_percent_Q3,vps_map_match_rate_percent_min,vps_map_match_rate_percent_max,vps_map_match_rate_percent_ci_low,vps_map_match_rate_percent_ci_high,vps_reliability_mean_when_valid_N,vps_reliability_mean_when_valid_mean,vps_reliability_mean_when_valid_std,vps_reliability_mean_when_valid_median,vps_reliability_mean_when_valid_Q1,vps_reliability_mean_when_valid_Q3,vps_reliability_mean_when_valid_min,vps_reliability_mean_when_valid_max,vps_reliability_mean_when_valid_ci_low,vps_reliability_mean_when_valid_ci_high
V1,NONE,10,0,0,,,,22,37,59.46,43.49,73.65,0,,,,,,,,,,7,42.3304,74.533,12.315,9.789,22.28,9.051,210.809,-26.6011,111.262,6,1.6878,0.0287,1.69,1.6757,1.702,1.643,1.727,1.6577,1.7179,10,5.0305,0.1424,4.9893,4.9205,5.083,4.9044,5.3359,4.9286,5.1324,0,,,,,,,,,,0,,,,,,,,,,10,3.7,2.3594,4.0,1.5,6.0,0.0,6.0,2.0122,5.3878,10,3.5,2.6352,4.0,0.75,6.0,0.0,6.0,1.6149,5.3851,10,37.012,19.4299,35.295,33.98,49.3425,0.0,68.09,23.1127,50.9113,10,37.012,19.4299,35.295,33.98,49.3425,0.0,68.09,23.1127,50.9113,10,37.012,19.4299,35.295,33.98,49.3425,0.0,68.09,23.1127,50.9113,6,0.8843,0.0101,0.883,0.88,0.8864,0.8716,0.9017,0.8737,0.8949
V1,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,2,8,25.0,7.15,59.07,2,13.208,0.0,13.208,13.208,13.208,13.208,13.208,13.208,13.208,3,8.1197,5.2937,11.176,6.5915,11.176,2.007,11.176,-5.0307,21.27,1,1.711,0.0,1.711,1.711,1.711,1.711,1.711,,,3,5.2398,0.0558,5.237,5.2112,5.2669,5.1855,5.2969,5.1013,5.3783,2,2.8408,0.0,2.8408,2.8408,2.8408,2.8408,2.8408,2.8408,2.8408,2,152.024,0.0,152.024,152.024,152.024,152.024,152.024,152.024,152.024,3,2.6667,1.1547,2.0,2.0,3.0,2.0,4.0,-0.2018,5.5351,3,1.3333,2.3094,0.0,0.0,2.0,0.0,4.0,-4.4035,7.0702,3,67.8967,28.8653,81.44,58.095,84.47,34.75,87.5,-3.8088,139.6021,3,67.8967,28.8653,81.44,58.095,84.47,34.75,87.5,-3.8088,139.6021,3,67.8967,28.8653,81.44,58.095,84.47,34.75,87.5,-3.8088,139.6021,3,0.8806,0.0014,0.8809,0.88,0.8814,0.8791,0.8818,0.8772,0.884
V2,GPS_TO_VPS,19,17,18,94.44,74.24,99.01,0,11,0.0,0.0,25.88,17,4.4015,1.9094,3.8,3.399,3.842,3.235,9.126,3.4198,5.3833,18,17.1931,8.8165,15.21,14.595,17.2365,4.067,48.342,12.8088,21.5775,17,3.0826,1.7055,3.042,1.713,3.542,1.014,8.598,2.2057,3.9595,19,6.123,4.0464,5.2284,5.2156,5.247,4.8752,22.828,4.1728,8.0733,16,0.6282,0.9786,0.0,0.0,1.2154,0.0,3.5765,0.1068,1.1497,16,5.4543,8.6528,0.0,0.0,10.7253,0.0,31.372,0.8436,10.0651,19,0.5789,0.9016,0.0,0.0,1.5,0.0,2.0,0.1444,1.0135,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,15.1153,15.4274,5.17,5.15,33.18,0.0,48.51,7.6795,22.551,19,13.1916,16.6784,2.59,2.56,33.18,0.0,48.51,5.1528,21.2303,19,13.1916,16.6784,2.59,2.56,33.18,0.0,48.51,5.1528,21.2303,17,0.8769,0.0392,0.8823,0.8775,0.8893,0.7334,0.9173,0.8568,0.8971
V2,MULTI_HANDOVER,1,0,0,,,,0,2,0.0,0.0,65.76,0,,,,,,,,,,1,142.346,0.0,142.346,142.346,142.346,142.346,142.346,,,1,3.842,0.0,3.842,3.842,3.842,3.842,3.842,,,1,5.2215,0.0,5.2215,5.2215,5.2215,5.2215,5.2215,,,0,,,,,,,,,,0,,,,,,,,,,1,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,4.6,0.0,4.6,4.6,4.6,4.6,4.6,,,1,2.09,0.0,2.09,2.09,2.09,2.09,2.09,,,1,2.09,0.0,2.09,2.09,2.09,2.09,2.09,,,1,0.8706,0.0,0.8706,0.8706,0.8706,0.8706,0.8706,,
V2,NONE,7,0,0,,,,4,16,25.0,10.18,49.5,0,,,,,,,,,,5,79.1214,85.4964,53.248,37.802,53.347,21.02,230.19,-27.0364,185.2792,6,1.7042,0.011,1.711,1.6952,1.711,1.69,1.712,1.6926,1.7157,7,5.1056,0.1465,5.1137,5.0659,5.1906,4.8266,5.2863,4.9702,5.2411,0,,,,,,,,,,0,,,,,,,,,,7,2.2857,1.3801,2.0,2.0,3.0,0.0,4.0,1.0093,3.5621,7,1.1429,1.9518,0.0,0.0,2.0,0.0,4.0,-0.6623,2.948,7,30.3229,15.4565,34.21,27.97,36.335,0.0,49.44,16.028,44.6177,7,30.3229,15.4565,34.21,27.97,36.335,0.0,49.44,16.028,44.6177,7,30.3229,15.4565,34.21,27.97,36.335,0.0,49.44,16.028,44.6177,6,0.8809,0.0032,0.8798,0.879,0.8827,0.8773,0.886,0.8775,0.8843
V2,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,6,0.0,0.0,39.03,2,21.294,0.0,21.294,21.294,21.294,21.294,21.294,21.294,21.294,3,15.2457,1.6945,16.224,14.7565,16.224,13.289,16.224,11.0362,19.4551,1,1.676,0.0,1.676,1.676,1.676,1.676,1.676,,,3,5.386,0.1273,5.3806,5.321,5.4482,5.2614,5.5159,5.0696,5.7023,2,5.5928,0.0,5.5928,5.5928,5.5928,5.5928,5.5928,5.5928,5.5928,2,115.163,0.0,115.163,115.163,115.163,115.163,115.163,115.163,115.163,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,61.4967,11.567,62.32,55.93,67.475,49.54,72.63,32.7627,90.2307,3,61.4967,11.567,62.32,55.93,67.475,49.54,72.63,32.7627,90.2307,3,61.4967,11.567,62.32,55.93,67.475,49.54,72.63,32.7627,90.2307,3,0.882,0.0056,0.8846,0.88,0.8852,0.8755,0.8858,0.868,0.896
V3,GPS_TO_VPS,20,17,19,89.47,68.61,97.06,20,32,62.5,45.25,77.07,17,4.0752,2.12,3.8,2.462,3.842,2.2,9.126,2.9852,5.1652,18,9.8193,14.718,5.07,4.356,6.3543,0.0,56.437,2.5002,17.1384,17,3.077,1.6939,3.042,1.719,3.542,1.014,8.598,2.2061,3.9479,20,6.1418,4.3307,5.1777,5.1667,5.2139,5.0067,24.5374,4.115,8.1687,17,2.1339,5.9445,0.0,0.0,1.926,0.0,24.9319,-0.9225,5.1902,17,26.1185,49.0986,0.0,0.0,16.38,0.0,148.993,0.8743,51.3627,20,1.6,2.5005,0.0,0.0,3.25,0.0,6.0,0.4297,2.7703,20,1.55,2.5231,0.0,0.0,3.25,0.0,6.0,0.3692,2.7308,20,18.542,15.8984,8.13,8.06,34.7425,0.0,48.91,11.1013,25.9827,20,16.817,17.0737,5.69,5.59,34.7425,0.0,48.91,8.8262,24.8078,20,16.817,17.0737,5.69,5.59,34.7425,0.0,48.91,8.8262,24.8078,17,0.8744,0.0404,0.8809,0.8786,0.8907,0.7278,0.9143,0.8537,0.8952
V3,MULTI_HANDOVER,1,0,0,,,,0,2,0.0,0.0,65.76,0,,,,,,,,,,1,137.276,0.0,137.276,137.276,137.276,137.276,137.276,,,1,3.842,0.0,3.842,3.842,3.842,3.842,3.842,,,1,5.1708,0.0,5.1708,5.1708,5.1708,5.1708,5.1708,,,0,,,,,,,,,,0,,,,,,,,,,1,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,7.57,0.0,7.57,7.57,7.57,7.57,7.57,,,1,5.18,0.0,5.18,5.18,5.18,5.18,5.18,,,1,5.18,0.0,5.18,5.18,5.18,5.18,5.18,,,1,0.8665,0.0,0.8665,0.8665,0.8665,0.8665,0.8665,,
V3,NONE,8,0,0,,,,20,33,60.61,43.68,75.32,0,,,,,,,,,,6,32.1617,18.167,29.666,16.6653,49.1827,14.014,51.604,13.0966,51.2268,6,1.703,0.0198,1.7005,1.6953,1.7132,1.674,1.732,1.6822,1.7238,8,5.1319,0.1516,5.1654,5.0336,5.2393,4.8732,5.3099,5.0052,5.2586,0,,,,,,,,,,0,,,,,,,,,,8,4.125,2.031,4.0,3.75,6.0,0.0,6.0,2.427,5.823,8,4.125,2.031,4.0,3.75,6.0,0.0,6.0,2.427,5.823,8,31.075,15.0532,35.21,30.515,35.9925,0.0,50.77,18.4902,43.6598,8,31.075,15.0532,35.21,30.515,35.9925,0.0,50.77,18.4902,43.6598,8,31.075,15.0532,35.21,30.515,35.9925,0.0,50.77,18.4902,43.6598,6,0.881,0.0049,0.8795,0.877,0.884,0.8769,0.8886,0.8759,0.8861
V3,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,5,0.0,0.0,43.45,2,6.084,0.0,6.084,6.084,6.084,6.084,6.084,6.084,6.084,3,3.7263,0.571,4.056,3.5615,4.056,3.067,4.056,2.3079,5.1448,0,,,,,,,,,,3,5.2025,0.1405,5.266,5.1537,5.283,5.0414,5.3,4.8534,5.5515,2,2.2834,0.0,2.2834,2.2834,2.2834,2.2834,2.2834,2.2834,2.2834,2,129.265,0.0,129.265,129.265,129.265,129.265,129.265,129.265,129.265,3,1.6667,0.5774,2.0,1.5,2.0,1.0,2.0,0.2324,3.1009,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,74.99,19.0501,83.08,68.155,85.87,53.23,88.66,27.6669,122.3131,3,74.99,19.0501,83.08,68.155,85.87,53.23,88.66,27.6669,122.3131,3,74.99,19.0501,83.08,68.155,85.87,53.23,88.66,27.6669,122.3131,2,0.8863,0.0016,0.8863,0.8858,0.8868,0.8852,0.8874,0.8723,0.9003
